PRODUCT_SKU,PRODUCT_NAME,PRODUCT_CONTENT,PRODUCT_MEASUREMENT_UNIT,PRODUCT_IS_WEIGHABLE,PRODUCT_TAX_RATE,PRODUCT_PRICE,PRODUCT_STOCK,IMAGE
025109000,MASTICADOR CON AGUA CARLITOS MANOS,1,UNI,N,15,0.49,2.00000,https://gdn-products-prd.s3.amazonaws.com/025109000/025109000_1.jpeg
103643000,RECIPIENTE DE VIDRIO 1.5 L HOME CLUB,1,UNI,N,15,5.99,9.00000,https://gdn-products-prd.s3.amazonaws.com/103643000/103643000_1.jpeg
103808000,JARRO DE CERAMICA 12 OZ HOME CLUB DIARIO,1,UNI,N,15,1.59,93.00000,https://gdn-products-prd.s3.amazonaws.com/103808000/103808000_1.jpeg
140669000,LIMPIA VIDRIOS RPTO TIPS DOYPACK 500 ML ORIGINAL,500,ML,N,15,1.77,6.00000,https://gdn-products-prd.s3.amazonaws.com/140669000/140669000_1.jpeg
140729000,LIMPIADOR PARA COCINA RPTO MR MUSCULO 500 ML ACCION NARANJA,500,ML,N,15,3.69,7.00000,https://gdn-products-prd.s3.amazonaws.com/140729000/140729000_1.jpeg
142903000,CUCHARA TENEDOR PLASTICA PLASTIUTIL 50 UNI,50,UNI,N,15,1.57,8.00000,https://gdn-products-prd.s3.amazonaws.com/142903000/142903000_1.jpeg
142928000,CUCHARITA PLASTICA PLASTIUTIL 50 UNI,50,UNI,N,15,0.84,7.00000,https://gdn-products-prd.s3.amazonaws.com/142928000/142928000_1.jpeg
143011000,VASO TERMICO DESECHABLE 6 OZ PLASTRO 20 UNI,20,UNI,N,15,1.08,18.00000,https://gdn-products-prd.s3.amazonaws.com/143011000/143011000_1.jpeg
143032000,VASO DESECHABLE 7 OZ PLASTIUTIL 50 UNI TRANSPARENTE,50,UNI,N,15,1.99,24.00000,https://gdn-products-prd.s3.amazonaws.com/143032000/143032000_1.jpeg
149503000,CLORO MAYIK 1000 ML,1000,ML,N,15,0.99,21.00000,https://gdn-products-prd.s3.amazonaws.com/149503000/149503000_1.jpeg
160632000,TOALLAS SANITARIAS CON ALAS NOSOTRAS 42 UNI BASICAS,42,UNI,N,0,4.75,25.00000,https://gdn-products-prd.s3.amazonaws.com/160632000/160632000_1.jpeg
149534000,CUCHARITA PLASTICA HOME CLUB 50 UNI,50,UNI,N,15,0.99,13.00000,https://gdn-products-prd.s3.amazonaws.com/149534000/149534000_1.jpeg
122903000,JARRO ACERO INOXIDABLE 12 CM,1,UNI,N,15,3.99,3.00000,https://gdn-products-prd.s3.amazonaws.com/122903000/122903000_1.jpeg
131608000,ENCENDEDOR PARA COCINA BIC HANDY,1,UNI,N,15,2.99,11.00000,https://gdn-products-prd.s3.amazonaws.com/131608000/131608000_1.jpeg
122208000,ACHIOTERO DE ALUMINIO CON TAPA INDALUM,1,UNI,N,15,4.99,5.00000,https://gdn-products-prd.s3.amazonaws.com/122208000/122208000_1.jpeg
093145000,CEPILLO PARA CABELLO 16 CM ELEMENTS BY TRIAL OVALADO REF 551D,1,UNI,N,15,1.99,14.00000,https://gdn-products-prd.s3.amazonaws.com/093145000/093145000_1.jpeg
167070000,CREMA DENTAL COLGATE TRIPLE ACCION 75 ML X 3,225,ML,N,15,3.59,29.00000,https://gdn-products-prd.s3.amazonaws.com/167070000/167070000_1.jpeg
163087000,CREMA CORPORAL SAHARA 500 ML,500,ML,N,15,4.29,7.00000,https://gdn-products-prd.s3.amazonaws.com/163087000/163087000_1.jpeg
162821000,MAQUINA PARA AFEITAR PARA MUJ BIC COMFORT2 PAGUE 4 LLEVE 5,4,UNI,N,15,4.59,27.00000,https://gdn-products-prd.s3.amazonaws.com/162821000/162821000_1.jpeg
258042000,ARROZ EL TRIUNFO EXTRA FINO 5 KG,5,KG,N,0,7.89,12.00000,https://gdn-products-prd.s3.amazonaws.com/258042000/258042000_1.jpeg
169519000,DESODORANTE PARA MUJ TRIAL ROLL ON 50 G ORIGINAL,50,G,N,15,0.99,14.00000,https://gdn-products-prd.s3.amazonaws.com/169519000/169519000_1.jpeg
162435000,GEL PARA CABELLO ROLDA 500 G,500,G,N,15,4.99,22.00000,https://gdn-products-prd.s3.amazonaws.com/162435000/162435000_1.jpeg
161769000,DESODORANTE PARA MUJ REXONA AEROSOL 150 ML X 2 BAMBOO,300,ML,N,15,5.99,12.00000,https://gdn-products-prd.s3.amazonaws.com/161769000/161769000_1.jpeg
025552000,JUGUETE INFANTIL CON RUEDA JUST BABY ANIMALES MARINOS,1,UNI,N,15,0.59,16.00000,https://gdn-products-prd.s3.amazonaws.com/025552000/025552000_1.jpeg
210911000,BOLIGRAFO BIC FASHION POUCH 3 UNI,3,UNI,N,15,1.49,24.00000,https://gdn-products-prd.s3.amazonaws.com/210911000/210911000_1.jpeg
211726000,PAPEL IRIS VERNAZA GRAFIC 10 UNI,10,UNI,N,15,1.19,34.00000,https://gdn-products-prd.s3.amazonaws.com/211726000/211726000_1.jpeg
211727000,LAMINAS MILIMETRADAS PARA DIBUJO VERNAZA GRAFIC 25 UNI,25,UNI,N,15,1.99,14.00000,https://gdn-products-prd.s3.amazonaws.com/211727000/211727000_1.jpeg
250467000,CAFE DESCAFEINADO COLCAFE 50 G,50,G,N,15,3.44,14.00000,https://gdn-products-prd.s3.amazonaws.com/250467000/250467000_1.jpeg
251214000,AZUCAR SAN CARLOS 5 KG,5,KG,N,0,5.04,19.00000,https://gdn-products-prd.s3.amazonaws.com/251214000/251214000_1.jpeg
251221000,AZUCAR SAN CARLOS 2 KG,2,KG,N,0,1.98,52.00000,https://gdn-products-prd.s3.amazonaws.com/251221000/251221000_1.jpeg
250158000,MAYONESA GUSTADINA DOYPACK 400 G,400,G,N,15,3.09,20.00000,https://gdn-products-prd.s3.amazonaws.com/250158000/250158000_1.jpeg
250231000,MAYONESA MAGGI DOYPACK 900 G,900,G,N,15,6.75,6.00000,https://gdn-products-prd.s3.amazonaws.com/250231000/250231000_1.jpeg
251108000,CALDO DE GALLINA CON ESPECIAS MAGGI 10 G X 8,80,G,N,15,1.95,13.00000,https://gdn-products-prd.s3.amazonaws.com/251108000/251108000_1.jpeg
243026000,AGUA 20 L,20,L,N,15,2.79,27.00000,https://gdn-products-prd.s3.amazonaws.com/243026000/243026000_1.jpeg
250707000,GELATINA GELATONI CHIQUI 120 G FRESA,120,G,N,15,0.59,45.00000,https://gdn-products-prd.s3.amazonaws.com/250707000/250707000_1.jpeg
250301000,MAIZ DULCE GUSTADINA 425 G,425,G,N,15,2.19,33.00000,https://gdn-products-prd.s3.amazonaws.com/250301000/250301000_1.jpeg
251019000,CHANTILLY ROYAL 100 G VAINILLA,100,G,N,15,1.85,8.00000,https://gdn-products-prd.s3.amazonaws.com/251019000/251019000_1.jpeg
247072000,COLA COCA COLA 2 L ORIGINAL,2,L,N,15,2.09,1.00000,https://gdn-products-prd.s3.amazonaws.com/247072000/247072000_1.jpeg
215252000,FUNDA DE REGALO EXTRA GRANDE 30X43 CM IDEAG INFANTIL,1,UNI,N,15,0.49,1.00000,https://gdn-products-prd.s3.amazonaws.com/215252000/215252000_1.jpeg
263306000,CAKE INACAKE! 80 G 2 UNI,80,G,N,15,0.49,54.00000,https://gdn-products-prd.s3.amazonaws.com/263306000/263306000_1.jpeg
262478000,CARAMELOS CONFITECA 395 G SURTIDO,395,G,N,15,2.66,16.00000,https://gdn-products-prd.s3.amazonaws.com/262478000/262478000_1.jpeg
263018000,CHIFLES MANABITA 400 G NATURAL,400,G,N,15,2.59,27.00000,https://gdn-products-prd.s3.amazonaws.com/263018000/263018000_1.jpeg
259540000,ALMENDRAS TA'RIKO 150 G,150,G,N,0,2.59,15.00000,https://gdn-products-prd.s3.amazonaws.com/259540000/259540000_1.jpeg
257390000,ATUN LOMITOS EN ACEITE DE OLIVA VAN CAMP'S 80 G X 3 A/F,240,G,N,0,3.20,21.00000,https://gdn-products-prd.s3.amazonaws.com/257390000/257390000_1.jpeg
252223000,ADOBO COMPLETO MAGGI LA SAZON DOYPACK 200 G,200,G,N,15,0.85,30.00000,https://gdn-products-prd.s3.amazonaws.com/252223000/252223000_1.jpeg
257420000,ACEITE DE OLIVA ARBOLITO LATA 250 ML,250,ML,N,15,6.63,23.00000,https://gdn-products-prd.s3.amazonaws.com/257420000/257420000_1.jpeg
252239000,SAZONADOR AJI-NO-MOTO 100 G,100,G,N,15,0.89,12.00000,https://gdn-products-prd.s3.amazonaws.com/252239000/252239000_1.jpeg
257583000,FIDEOS PREMIUM SABROSITO ORIENTAL 300 G,300,G,N,0,1.75,23.00000,https://gdn-products-prd.s3.amazonaws.com/257583000/257583000_1.jpeg
251279000,ENDULZANTE STEVIA LIFE 100 SOBRES,100,UNI,N,0,8.32,9.00000,https://gdn-products-prd.s3.amazonaws.com/251279000/251279000_1.jpeg
310471000,MOTE COCINADO SALAITO 500 G,500,G,N,0,1.59,26.00000,https://gdn-products-prd.s3.amazonaws.com/310471000/310471000_1.jpeg
300107000,MORTADELA ESPECIAL LA EUROPEA PREMIUM 500 G,500,G,N,0,2.39,5.00000,https://gdn-products-prd.s3.amazonaws.com/300107000/300107000_1.jpeg
301147000,SALCHICHAS MR POLLO SALCHIPOLLO 100 G,100,G,N,0,0.72,17.00000,https://gdn-products-prd.s3.amazonaws.com/301147000/301147000_1.jpeg
310160000,ZUCCHINI VERDE FUNDA 400 G,400,G,N,0,0.99,12.00000,https://gdn-products-prd.s3.amazonaws.com/310160000/310160000_1.jpeg
263429000,MASMELOS ESPONJITAS 100 G,100,G,N,15,0.66,16.00000,https://gdn-products-prd.s3.amazonaws.com/263429000/263429000_1.jpeg
280102000,HELADO TOPSY PREMIUM 1 L MYM,1,L,N,15,5.19,5.00000,https://gdn-products-prd.s3.amazonaws.com/280102000/280102000_1.jpeg
280340000,PULPA DE FRUTA FRUTASI 250 G MARACUYA,250,G,N,0,1.55,14.00000,https://gdn-products-prd.s3.amazonaws.com/280340000/280340000_1.jpeg
280368000,PULPA DE FRUTA EASY FRUT 500 G NARANJILLA,500,G,N,0,2.35,10.00000,https://gdn-products-prd.s3.amazonaws.com/280368000/280368000_1.jpeg
143101000,COMBO COFFEE GOLDERY SOY 25 UNI CON PLATO CUCHARITAS VASOS,1,UNI,N,15,2.99,21.00000,https://gdn-products-prd.s3.amazonaws.com/143101000/143101000_1.jpeg
258439000,SALSA CHINA DE SOYA ORIENTAL 200 ML,200,ML,N,15,1.42,12.00000,https://gdn-products-prd.s3.amazonaws.com/258439000/258439000_1.jpeg
143805000,TOALLAS DE COCINA FAMILIA PRACTIPLUS 90 UNI,90,UNI,N,15,1.50,10.00000,https://gdn-products-prd.s3.amazonaws.com/143805000/143805000_1.jpeg
280206000,HELADO TOPSY BOMBON 110 ML CLASICO,1,UNI,N,15,0.99,63.00000,https://gdn-products-prd.s3.amazonaws.com/280206000/280206000_1.jpeg
258440000,SALSA CHINA DE SOYA ORIENTAL 400 ML,400,ML,N,15,2.41,9.00000,https://gdn-products-prd.s3.amazonaws.com/258440000/258440000_1.jpeg
197496000,VELA EXPLOSIVA 12 CM DITRIZAR 2 UNI,2,UNI,N,15,1.99,13.00000,https://gdn-products-prd.s3.amazonaws.com/197496000/197496000_1.jpeg
141672001,QUITA MANCHAS EN GEL VANISH DOYPACK 450 ML BLANCO TOTAL,450,ML,N,15,3.12,13.00000,https://gdn-products-prd.s3.amazonaws.com/141672001/141672001_1.jpeg
160646003,PROTECTORES DIARIOS NOSOTRAS 15 UNI NORMAL,15,UNI,N,15,1.49,33.00000,https://gdn-products-prd.s3.amazonaws.com/160646003/160646003_1.jpeg
140691003,DESINFECTANTE FABULOSO 1 L LAVANDA,1000,ML,N,15,1.61,32.00000,https://gdn-products-prd.s3.amazonaws.com/140691003/140691003_1.jpeg
141499005,LAVAVAJILLA EN CREMA AXION 450 G AVENA,450,G,N,15,1.72,27.00000,https://gdn-products-prd.s3.amazonaws.com/141499005/141499005_1.jpeg
141151002,BETUN EN PASTA CHERRY 65 G NEGRO,65,G,N,15,3.10,12.00000,https://gdn-products-prd.s3.amazonaws.com/141151002/141151002_1.jpeg
163539005,TINTE DUO COLORCREAM 64 ML CASTANO CLARO N5,64,ML,N,15,4.85,5.00000,https://gdn-products-prd.s3.amazonaws.com/163539005/163539005_1.jpeg
162153006,SHAMPOO ISABELLA DOYPACK 1 L ORTIGA,1,L,N,15,1.99,6.00000,https://gdn-products-prd.s3.amazonaws.com/162153006/162153006_1.jpeg
197460001,VELA DE CUMPLEANOS MAGICA 0,1,UNI,N,15,0.99,6.00000,https://gdn-products-prd.s3.amazonaws.com/197460001/197460001_1.jpeg
210111006,LAPIZ GRAFITO 4H STAEDTLER 2 UNI,2,UNI,N,15,1.99,15.00000,https://gdn-products-prd.s3.amazonaws.com/210111006/210111006_1.jpeg
211008003,MARCADOR RESALTADOR BIC ROSADO,1,UNI,N,15,0.89,33.00000,https://gdn-products-prd.s3.amazonaws.com/211008003/211008003_1.jpeg
242597001,JUGO NECTAR DEL VALLE TETRABRIK 1 L DURAZNO,1,L,N,15,1.27,14.00000,https://gdn-products-prd.s3.amazonaws.com/242597001/242597001_1.jpeg
259592001,COLADA TA'RIKO 250 G FRESA,250,G,N,0,0.99,23.00000,https://gdn-products-prd.s3.amazonaws.com/259592001/259592001_1.jpeg
259592002,COLADA TA'RIKO 250 G VAINILLA,250,G,N,0,0.99,11.00000,https://gdn-products-prd.s3.amazonaws.com/259592002/259592002_1.jpeg
212357002,CUADERNO COSIDO PARVULARIO 100 H ESTILO CUADROS ECONOMICO,1,UNI,N,15,1.59,17.00000,https://gdn-products-prd.s3.amazonaws.com/212357002/212357002_1.jpeg
247068003,COLA BIG 3.05 L NEGRA,3.05,L,N,15,1.75,9.00000,https://gdn-products-prd.s3.amazonaws.com/247068003/247068003_1.jpeg
242677001,JUGO REFRESH 1 L MANZANA,1,L,N,15,2.55,11.00000,https://gdn-products-prd.s3.amazonaws.com/242677001/242677001_1.jpeg
250543002,INFUSIONES ILE 25 SOBRES HORCHATA,25,UNI,N,0,1.25,21.00000,https://gdn-products-prd.s3.amazonaws.com/250543002/250543002_1.jpeg
250552002,INFUSIONES HORNIMANS 25 SOBRES CEDRON,25,UNI,N,0,1.29,6.00000,https://gdn-products-prd.s3.amazonaws.com/250552002/250552002_1.jpeg
263536002,GALLETAS RECUBIERTAS MINI TANGO 299 G CHOCOLATE,299,G,N,15,5.29,19.00000,https://gdn-products-prd.s3.amazonaws.com/263536002/263536002_1.jpeg
262156003,GALLETAS RELLENAS OREO 432 G CHOCOLATE,432,G,N,15,3.29,26.00000,https://gdn-products-prd.s3.amazonaws.com/262156003/262156003_1.jpeg
110427000,POMO PLASTICO CON TAPA PLAPASA 2 UNI,2,UNI,N,15,0.99,27.00000,https://gdn-products-prd.s3.amazonaws.com/110427000/110427000_1.jpeg
270464002,TORTILLAS MAMA FANY 400 G ORIGINAL,400,G,N,0,2.75,19.00000,https://gdn-products-prd.s3.amazonaws.com/270464002/270464002_1.jpeg
270470001,YOGURT GRIEGO TONI 150 G FRUTILLA,150,G,N,0,1.75,16.00000,https://gdn-products-prd.s3.amazonaws.com/270470001/270470001_1.jpeg
279513002,YOGURT TA'RIKO 1 KG FRUTILLA,1,KG,N,0,1.95,3.00000,https://gdn-products-prd.s3.amazonaws.com/279513002/279513002_1.jpeg
263137004,WAFFER AMOR 175 G VAINILLA,175,G,N,15,0.99,17.00000,https://gdn-products-prd.s3.amazonaws.com/263137004/263137004_1.jpeg
280230003,HELADO TOPSY CLASICO 1 L RON PASAS,1,L,N,15,3.99,1.00000,https://gdn-products-prd.s3.amazonaws.com/280230003/280230003_1.jpeg
270460003,YOGURT TONI 1.7 KG MORA,1.7,KG,N,0,5.49,5.00000,https://gdn-products-prd.s3.amazonaws.com/270460003/270460003_1.jpeg
279512001,YOGURT TA'RIKO 2 KG DURAZNO,2,KG,N,0,3.59,3.00000,https://gdn-products-prd.s3.amazonaws.com/279512001/279512001_1.jpeg
191950000,CARRO 4 CM HOT WHEELS,1,UNI,N,15,2.99,157.00000,https://gdn-products-prd.s3.amazonaws.com/191950000/191950000_1.jpeg
310431000,SUPER CHOCHO 500 G,500,G,N,15,2.25,5.00000,https://gdn-products-prd.s3.amazonaws.com/310431000/310431000_1.jpeg
163927000,DESODORANTE GILLETTE ROLL ON 57 ML COOL WAVE,57,ML,N,15,3.59,7.00000,https://gdn-products-prd.s3.amazonaws.com/163927000/163927000_1.jpeg
163936001,DESODORANTE GEL SPEED STICK 24/7 BARRA 85 G COOL NIGHT,85,G,N,15,7.25,10.00000,https://gdn-products-prd.s3.amazonaws.com/163936001/163936001_1.jpeg
149587000,CUCHARA TENEDOR PLASTICA HOME CLUB 25 UNI,25,UNI,N,15,0.99,8.00000,https://gdn-products-prd.s3.amazonaws.com/149587000/149587000_1.jpeg
310265000,ESPARRAGOS POR ATADO 250 G,250,G,N,0,1.19,11.00000,https://gdn-products-prd.s3.amazonaws.com/310265000/310265000_1.jpeg
310909000,PAPA CHOLA MALLA,800,G,N,0,0.99,237.00000,https://gdn-products-prd.s3.amazonaws.com/310909000/310909000_1.jpeg
269506000,CHIFLES TA'RIKO 45 G,45,G,N,15,0.45,7.00000,https://gdn-products-prd.s3.amazonaws.com/269506000/269506000_1.jpeg
